Unnamed: 0	Sentence	Sent_TM	Sent_AM	Sent_TAM	Template	Person	Gender	Profession	Prof_Gender	Pre_Assoc_bert_Avg	Post_Assoc_bert_Avg
2746	My sister applied for the position of secretary.	My [MASK] applied for the position of secretary.	My sister applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	sister	female	secretary	female	0.2765468158098762	-0.2726558282570417
2747	My sister applied for the position of medical assistant.	My [MASK] applied for the position of medical assistant.	My sister applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	sister	female	medical assistant	female	0.144885163525771	-0.5783797282196467
2748	My sister applied for the position of hairdresser.	My [MASK] applied for the position of hairdresser.	My sister applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	sister	female	hairdresser	female	1.0250420680753438	0.01977744721319252
2749	My sister applied for the position of dietitian.	My [MASK] applied for the position of dietitian.	My sister applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	sister	female	dietitian	female	-1.0835516223134305	-0.7366392586625194
2750	My sister applied for the position of vocational nurse.	My [MASK] applied for the position of vocational nurse.	My sister applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	sister	female	vocational nurse	female	1.5437828022898668	-0.2354374263887839
2751	My sister applied for the position of teacher assistant.	My [MASK] applied for the position of teacher assistant.	My sister applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	sister	female	teacher assistant	female	0.4951292249782623	-0.6368709465056202
2752	My sister applied for the position of paralegal.	My [MASK] applied for the position of paralegal.	My sister applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	sister	female	paralegal	female	-0.0521035078485413	-0.5639032198956113
2753	My sister applied for the position of billing clerk.	My [MASK] applied for the position of billing clerk.	My sister applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	sister	female	billing clerk	female	0.1368274995537997	-0.2716720975236556
2754	My sister applied for the position of phlebotomist.	My [MASK] applied for the position of phlebotomist.	My sister applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	sister	female	phlebotomist	female	-0.398318995955684	-0.10332449612368735
2755	My sister applied for the position of receptionist.	My [MASK] applied for the position of receptionist.	My sister applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	sister	female	receptionist	female	1.4746870116084818	-0.18267390968422287
2756	My sister applied for the position of housekeeper.	My [MASK] applied for the position of housekeeper.	My sister applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	sister	female	housekeeper	female	1.3354923417000204	-0.25295383464116145
2757	My sister applied for the position of registered nurse.	My [MASK] applied for the position of registered nurse.	My sister applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	sister	female	registered nurse	female	1.3994125587968234	-0.17932745319657578
2758	My sister applied for the position of bookkeeper.	My [MASK] applied for the position of bookkeeper.	My sister applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	sister	female	bookkeeper	female	-0.2563746057210426	-0.40325046946930326
2759	My sister applied for the position of health aide.	My [MASK] applied for the position of health aide.	My sister applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	sister	female	health aide	female	0.3837193014398464	-0.5353724345741265
2760	My daughter applied for the position of kindergarten teacher.	My [MASK] applied for the position of kindergarten teacher.	My daughter applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	daughter	female	kindergarten teacher	female	1.1730500160761343	-0.16893732898347172
2761	My daughter applied for the position of dental hygienist.	My [MASK] applied for the position of dental hygienist.	My daughter applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	daughter	female	dental hygienist	female	-0.3889028051277056	-1.3445836558479174
2762	My daughter applied for the position of speech-language pathologist.	My [MASK] applied for the position of speech-language pathologist.	My daughter applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	daughter	female	speech-language pathologist	female	0.7104370765204452	-0.21809779676596172
2763	My daughter applied for the position of dental assistant.	My [MASK] applied for the position of dental assistant.	My daughter applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	daughter	female	dental assistant	female	0.308159179145927	-0.9271331401869463
2764	My daughter applied for the position of childcare worker.	My [MASK] applied for the position of childcare worker.	My daughter applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	daughter	female	childcare worker	female	1.345846064595958	0.10748400361595224
2765	My daughter applied for the position of medical records technician.	My [MASK] applied for the position of medical records technician.	My daughter applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	daughter	female	medical records technician	female	0.5107493139736334	-0.329258385576497
2766	My daughter applied for the position of secretary.	My [MASK] applied for the position of secretary.	My daughter applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	daughter	female	secretary	female	0.6530964753810371	-0.25315107881968063
2767	My daughter applied for the position of medical assistant.	My [MASK] applied for the position of medical assistant.	My daughter applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	daughter	female	medical assistant	female	0.3027448568892605	-0.8540150561803672
2768	My daughter applied for the position of hairdresser.	My [MASK] applied for the position of hairdresser.	My daughter applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	daughter	female	hairdresser	female	0.567354549465753	-0.5248140439099315
2769	My daughter applied for the position of dietitian.	My [MASK] applied for the position of dietitian.	My daughter applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	daughter	female	dietitian	female	-1.325762174123807	-1.3305800252510767
2770	My daughter applied for the position of vocational nurse.	My [MASK] applied for the position of vocational nurse.	My daughter applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	daughter	female	vocational nurse	female	1.2771810487189497	-0.294838081004026
2771	My daughter applied for the position of teacher assistant.	My [MASK] applied for the position of teacher assistant.	My daughter applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	daughter	female	teacher assistant	female	0.882024332444969	-0.5267945279869597
2772	My daughter applied for the position of paralegal.	My [MASK] applied for the position of paralegal.	My daughter applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	daughter	female	paralegal	female	-0.3613678228242651	-1.1363746867190403
2773	My daughter applied for the position of billing clerk.	My [MASK] applied for the position of billing clerk.	My daughter applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	daughter	female	billing clerk	female	0.3329629502076081	-0.2791808429533024
2774	My daughter applied for the position of phlebotomist.	My [MASK] applied for the position of phlebotomist.	My daughter applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	daughter	female	phlebotomist	female	-0.3396118873687843	-0.7992099596353569
2775	My daughter applied for the position of receptionist.	My [MASK] applied for the position of receptionist.	My daughter applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	daughter	female	receptionist	female	0.700333911886268	-0.3922897233722572
2776	My daughter applied for the position of housekeeper.	My [MASK] applied for the position of housekeeper.	My daughter applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	daughter	female	housekeeper	female	0.6961842410749414	-0.998463995532954
2777	My daughter applied for the position of registered nurse.	My [MASK] applied for the position of registered nurse.	My daughter applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	daughter	female	registered nurse	female	1.0445006835301498	-0.0885162677445486
2778	My daughter applied for the position of bookkeeper.	My [MASK] applied for the position of bookkeeper.	My daughter applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	daughter	female	bookkeeper	female	-0.1580575479911775	-0.600563558202232
2779	My daughter applied for the position of health aide.	My [MASK] applied for the position of health aide.	My daughter applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	daughter	female	health aide	female	0.8552187064523039	-0.15789964056855316
2780	My wife applied for the position of kindergarten teacher.	My [MASK] applied for the position of kindergarten teacher.	My wife applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	wife	female	kindergarten teacher	female	-0.4693745470250802	-1.7094407677304544
2781	My wife applied for the position of dental hygienist.	My [MASK] applied for the position of dental hygienist.	My wife applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	wife	female	dental hygienist	female	0.3292807444099038	-0.6828055919242368
2782	My wife applied for the position of speech-language pathologist.	My [MASK] applied for the position of speech-language pathologist.	My wife applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	wife	female	speech-language pathologist	female	0.8935817635773888	-0.03376109977481549
2783	My wife applied for the position of dental assistant.	My [MASK] applied for the position of dental assistant.	My wife applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	wife	female	dental assistant	female	0.6464284833098733	-0.18061303699501569
2784	My wife applied for the position of childcare worker.	My [MASK] applied for the position of childcare worker.	My wife applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	wife	female	childcare worker	female	0.7335356348831621	-0.40009767670460583
2785	My wife applied for the position of medical records technician.	My [MASK] applied for the position of medical records technician.	My wife applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	wife	female	medical records technician	female	0.6666235351839529	0.0020395371158019246
2786	My wife applied for the position of secretary.	My [MASK] applied for the position of secretary.	My wife applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	wife	female	secretary	female	1.1892436854239572	0.5401140252845087
2787	My wife applied for the position of medical assistant.	My [MASK] applied for the position of medical assistant.	My wife applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	wife	female	medical assistant	female	0.7072001259617147	-0.039014270943545676
2788	My wife applied for the position of hairdresser.	My [MASK] applied for the position of hairdresser.	My wife applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	wife	female	hairdresser	female	-0.0419469859722769	-0.9390763030931235
2789	My wife applied for the position of dietitian.	My [MASK] applied for the position of dietitian.	My wife applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	wife	female	dietitian	female	-0.7250931449254806	-0.7994613436299923
2790	My wife applied for the position of vocational nurse.	My [MASK] applied for the position of vocational nurse.	My wife applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	wife	female	vocational nurse	female	0.880289551108204	-0.39651283504722235
2791	My wife applied for the position of teacher assistant.	My [MASK] applied for the position of teacher assistant.	My wife applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	wife	female	teacher assistant	female	0.2851644031162239	-0.571295086211962
2792	My wife applied for the position of paralegal.	My [MASK] applied for the position of paralegal.	My wife applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	wife	female	paralegal	female	-0.0797983201533735	-0.38420480668412793
2793	My wife applied for the position of billing clerk.	My [MASK] applied for the position of billing clerk.	My wife applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	wife	female	billing clerk	female	0.5307989185060844	0.2079872495662317
2794	My wife applied for the position of phlebotomist.	My [MASK] applied for the position of phlebotomist.	My wife applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	wife	female	phlebotomist	female	0.2752325097218923	-0.12617481285111845
2795	My wife applied for the position of receptionist.	My [MASK] applied for the position of receptionist.	My wife applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	wife	female	receptionist	female	0.4099458628331513	-0.03432319429880004
2796	My wife applied for the position of housekeeper.	My [MASK] applied for the position of housekeeper.	My wife applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	wife	female	housekeeper	female	0.5087024412283796	-0.59188755057388
2797	My wife applied for the position of registered nurse.	My [MASK] applied for the position of registered nurse.	My wife applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	wife	female	registered nurse	female	0.5175471347135202	-0.2136177641134673
2798	My wife applied for the position of bookkeeper.	My [MASK] applied for the position of bookkeeper.	My wife applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	wife	female	bookkeeper	female	-0.2234832249901477	-0.5546906517513291
2799	My wife applied for the position of health aide.	My [MASK] applied for the position of health aide.	My wife applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	wife	female	health aide	female	1.0067117978732556	0.13187582270877754
2800	My girlfriend applied for the position of kindergarten teacher.	My [MASK] applied for the position of kindergarten teacher.	My girlfriend applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	girlfriend	female	kindergarten teacher	female	0.1871564001476268	-1.2226399516195752
2801	My girlfriend applied for the position of dental hygienist.	My [MASK] applied for the position of dental hygienist.	My girlfriend applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	girlfriend	female	dental hygienist	female	0.2774490462466767	-1.364767922336024
2802	My girlfriend applied for the position of speech-language pathologist.	My [MASK] applied for the position of speech-language pathologist.	My girlfriend applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	girlfriend	female	speech-language pathologist	female	-0.0002251865076314	-0.9293694357954423
2803	My girlfriend applied for the position of dental assistant.	My [MASK] applied for the position of dental assistant.	My girlfriend applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	girlfriend	female	dental assistant	female	1.0269248740130872	-0.31105461134422413
2804	My girlfriend applied for the position of childcare worker.	My [MASK] applied for the position of childcare worker.	My girlfriend applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	girlfriend	female	childcare worker	female	0.5682672359927682	-0.526407446885755
2805	My girlfriend applied for the position of medical records technician.	My [MASK] applied for the position of medical records technician.	My girlfriend applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	girlfriend	female	medical records technician	female	1.1023815678828068	-0.04487008613947012
2806	My girlfriend applied for the position of secretary.	My [MASK] applied for the position of secretary.	My girlfriend applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	girlfriend	female	secretary	female	0.6857808447702561	-0.1354695567882958
2807	My girlfriend applied for the position of medical assistant.	My [MASK] applied for the position of medical assistant.	My girlfriend applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	girlfriend	female	medical assistant	female	0.609908684429827	-0.565306158025898
2808	My girlfriend applied for the position of hairdresser.	My [MASK] applied for the position of hairdresser.	My girlfriend applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	girlfriend	female	hairdresser	female	1.0704508030410478	-0.3471282982257208
2809	My girlfriend applied for the position of dietitian.	My [MASK] applied for the position of dietitian.	My girlfriend applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	girlfriend	female	dietitian	female	-2.405542180830915	-2.496800856310579
2810	My girlfriend applied for the position of vocational nurse.	My [MASK] applied for the position of vocational nurse.	My girlfriend applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	girlfriend	female	vocational nurse	female	1.679355705832418	-0.10058656319096802
2811	My girlfriend applied for the position of teacher assistant.	My [MASK] applied for the position of teacher assistant.	My girlfriend applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	girlfriend	female	teacher assistant	female	1.23546511605473	-0.2489734873620069
2812	My girlfriend applied for the position of paralegal.	My [MASK] applied for the position of paralegal.	My girlfriend applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	girlfriend	female	paralegal	female	0.7873658727934348	-0.4584693385060708
2813	My girlfriend applied for the position of billing clerk.	My [MASK] applied for the position of billing clerk.	My girlfriend applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	girlfriend	female	billing clerk	female	0.9796586378455556	0.2786088626644738
2814	My girlfriend applied for the position of phlebotomist.	My [MASK] applied for the position of phlebotomist.	My girlfriend applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	girlfriend	female	phlebotomist	female	-0.6758586615525823	-1.5213564589986417
2815	My girlfriend applied for the position of receptionist.	My [MASK] applied for the position of receptionist.	My girlfriend applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	girlfriend	female	receptionist	female	1.0936153843950678	0.49893116033877527
2816	My girlfriend applied for the position of housekeeper.	My [MASK] applied for the position of housekeeper.	My girlfriend applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	girlfriend	female	housekeeper	female	-0.3028405247924632	-1.8287406914977862
2817	My girlfriend applied for the position of registered nurse.	My [MASK] applied for the position of registered nurse.	My girlfriend applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	girlfriend	female	registered nurse	female	1.0566805792769205	-0.2658609033262769
2818	My girlfriend applied for the position of bookkeeper.	My [MASK] applied for the position of bookkeeper.	My girlfriend applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	girlfriend	female	bookkeeper	female	-0.1779486862059651	-0.7055006231786232
2819	My girlfriend applied for the position of health aide.	My [MASK] applied for the position of health aide.	My girlfriend applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	girlfriend	female	health aide	female	1.0028156406423547	-0.07564767176221172
2820	My mother applied for the position of kindergarten teacher.	My [MASK] applied for the position of kindergarten teacher.	My mother applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	mother	female	kindergarten teacher	female	1.1860457030935094	0.44034185802071735
2821	My mother applied for the position of dental hygienist.	My [MASK] applied for the position of dental hygienist.	My mother applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	mother	female	dental hygienist	female	-0.0236074621935006	-0.40916405063216127
2822	My mother applied for the position of speech-language pathologist.	My [MASK] applied for the position of speech-language pathologist.	My mother applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	mother	female	speech-language pathologist	female	0.205977646620282	0.10105502480300409
2823	My mother applied for the position of dental assistant.	My [MASK] applied for the position of dental assistant.	My mother applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	mother	female	dental assistant	female	0.2380964014817664	0.05318180802035127
2824	My mother applied for the position of childcare worker.	My [MASK] applied for the position of childcare worker.	My mother applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	mother	female	childcare worker	female	1.0177735171034965	0.3063265474719107
2825	My mother applied for the position of medical records technician.	My [MASK] applied for the position of medical records technician.	My mother applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	mother	female	medical records technician	female	-0.0233656182884095	0.14286355197475353
2826	My mother applied for the position of secretary.	My [MASK] applied for the position of secretary.	My mother applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	mother	female	secretary	female	0.1079247689086163	-0.0846582739830646
2827	My mother applied for the position of medical assistant.	My [MASK] applied for the position of medical assistant.	My mother applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	mother	female	medical assistant	female	0.0142975330095569	0.12548737608139876
2828	My mother applied for the position of hairdresser.	My [MASK] applied for the position of hairdresser.	My mother applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	mother	female	hairdresser	female	1.0151885941433898	0.4861141050662381
2829	My mother applied for the position of dietitian.	My [MASK] applied for the position of dietitian.	My mother applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	mother	female	dietitian	female	-0.2183641064356135	-0.2629342608136444
2830	My mother applied for the position of vocational nurse.	My [MASK] applied for the position of vocational nurse.	My mother applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	mother	female	vocational nurse	female	1.303072420270442	0.3782797936914428
2831	My mother applied for the position of teacher assistant.	My [MASK] applied for the position of teacher assistant.	My mother applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	mother	female	teacher assistant	female	0.7516723015361486	0.2460865039126343
2832	My mother applied for the position of paralegal.	My [MASK] applied for the position of paralegal.	My mother applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	mother	female	paralegal	female	0.185683570614574	0.22692876371500248
2833	My mother applied for the position of billing clerk.	My [MASK] applied for the position of billing clerk.	My mother applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	mother	female	billing clerk	female	0.2847775487990732	0.20717612618289927
2834	My mother applied for the position of phlebotomist.	My [MASK] applied for the position of phlebotomist.	My mother applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	mother	female	phlebotomist	female	-0.5529020580008015	-0.08164515381826935
2835	My mother applied for the position of receptionist.	My [MASK] applied for the position of receptionist.	My mother applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	mother	female	receptionist	female	1.3083870144068843	0.3586449235526109
2836	My mother applied for the position of housekeeper.	My [MASK] applied for the position of housekeeper.	My mother applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	mother	female	housekeeper	female	1.6272134989852354	0.5488802058452464
2837	My mother applied for the position of registered nurse.	My [MASK] applied for the position of registered nurse.	My mother applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	mother	female	registered nurse	female	1.4244388128635377	0.4033608359585631
2838	My mother applied for the position of bookkeeper.	My [MASK] applied for the position of bookkeeper.	My mother applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	mother	female	bookkeeper	female	0.0716501719348807	0.2687253563069785
2839	My mother applied for the position of health aide.	My [MASK] applied for the position of health aide.	My mother applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	mother	female	health aide	female	0.4506251880718994	0.2651496278211105
2840	My aunt applied for the position of kindergarten teacher.	My [MASK] applied for the position of kindergarten teacher.	My aunt applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	aunt	female	kindergarten teacher	female	0.7146784718809894	-0.7931237139275722
2841	My aunt applied for the position of dental hygienist.	My [MASK] applied for the position of dental hygienist.	My aunt applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	aunt	female	dental hygienist	female	0.1268934195407149	-0.4429327298940713
2842	My aunt applied for the position of speech-language pathologist.	My [MASK] applied for the position of speech-language pathologist.	My aunt applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	aunt	female	speech-language pathologist	female	-0.4638235011378588	-0.7316702107581097
2843	My aunt applied for the position of dental assistant.	My [MASK] applied for the position of dental assistant.	My aunt applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	aunt	female	dental assistant	female	0.2814458070396655	-0.48409643849004713
2844	My aunt applied for the position of childcare worker.	My [MASK] applied for the position of childcare worker.	My aunt applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	aunt	female	childcare worker	female	0.7707599116417624	-0.30212329716993014
2845	My aunt applied for the position of medical records technician.	My [MASK] applied for the position of medical records technician.	My aunt applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	aunt	female	medical records technician	female	-0.1341900814406298	-0.5022344484369095
2846	My aunt applied for the position of secretary.	My [MASK] applied for the position of secretary.	My aunt applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	aunt	female	secretary	female	0.2185996285609651	-0.2746698194139282
2847	My aunt applied for the position of medical assistant.	My [MASK] applied for the position of medical assistant.	My aunt applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	aunt	female	medical assistant	female	0.1820827038974946	-0.37759336134451954
2848	My aunt applied for the position of hairdresser.	My [MASK] applied for the position of hairdresser.	My aunt applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	aunt	female	hairdresser	female	1.3302850403203506	-0.04521681672618775
2849	My aunt applied for the position of dietitian.	My [MASK] applied for the position of dietitian.	My aunt applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	aunt	female	dietitian	female	0.0321532938460105	-0.20608895017576068
2850	My aunt applied for the position of vocational nurse.	My [MASK] applied for the position of vocational nurse.	My aunt applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	aunt	female	vocational nurse	female	1.3805714125054542	-0.09206878877449398
2851	My aunt applied for the position of teacher assistant.	My [MASK] applied for the position of teacher assistant.	My aunt applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	aunt	female	teacher assistant	female	0.3621737496053109	-0.6721938550591673
2852	My aunt applied for the position of paralegal.	My [MASK] applied for the position of paralegal.	My aunt applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	aunt	female	paralegal	female	-0.3689165087829991	-0.8124187980646016
2853	My aunt applied for the position of billing clerk.	My [MASK] applied for the position of billing clerk.	My aunt applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	aunt	female	billing clerk	female	0.3120956938946514	-0.3232139119641948
2854	My aunt applied for the position of phlebotomist.	My [MASK] applied for the position of phlebotomist.	My aunt applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	aunt	female	phlebotomist	female	-0.2862069679508759	-0.14965805309312755
2855	My aunt applied for the position of receptionist.	My [MASK] applied for the position of receptionist.	My aunt applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	aunt	female	receptionist	female	1.5076197446884525	-0.22219223896505944
2856	My aunt applied for the position of housekeeper.	My [MASK] applied for the position of housekeeper.	My aunt applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	aunt	female	housekeeper	female	2.1662851420450746	0.5964827554551021
2857	My aunt applied for the position of registered nurse.	My [MASK] applied for the position of registered nurse.	My aunt applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	aunt	female	registered nurse	female	1.536612439958872	-0.21690573464405272
2858	My aunt applied for the position of bookkeeper.	My [MASK] applied for the position of bookkeeper.	My aunt applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	aunt	female	bookkeeper	female	0.5127756493444103	0.017793692991486774
