Unnamed: 0	Sentence	Sent_TM	Sent_AM	Sent_TAM	Template	Person	Gender	Profession	Prof_Gender	Profession_EN
1933	Mein Vater ist Fakturist*in.	Mein [MASK] ist Fakturist*in.	Mein Vater ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Vater	male	Fakturist*in	female	billing clerk
1934	Mein Vater ist Phlebologe*in.	Mein [MASK] ist Phlebologe*in.	Mein Vater ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Vater	male	Phlebologe*in	female	phlebotomist
1935	Mein Vater ist Person am Empfang.	Mein [MASK] ist Person am Empfang.	Mein Vater ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Vater	male	Person am Empfang	female	receptionist
1936	Mein Vater ist Haushaltskraft.	Mein [MASK] ist Haushaltskraft.	Mein Vater ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Vater	male	Haushaltskraft	female	housekeeper
1937	Mein Vater ist staatlich geprüfte Pflegefachkraft.	Mein [MASK] ist staatlich geprüfte Pflegefachkraft.	Mein Vater ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Vater	male	staatlich geprüfte Pflegefachkraft	female	registered nurse
1938	Mein Vater ist Buchhaltungsfachkraft.	Mein [MASK] ist Buchhaltungsfachkraft.	Mein Vater ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Vater	male	Buchhaltungsfachkraft	female	bookkeeper
1939	Mein Vater ist Gesundheitsberater*in.	Mein [MASK] ist Gesundheitsberater*in.	Mein Vater ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Vater	male	Gesundheitsberater*in	female	health aide
1940	Mein Onkel ist Kita-Fachkraft.	Mein [MASK] ist Kita-Fachkraft.	Mein Onkel ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Onkel	male	Kita-Fachkraft	female	kindergarten teacher
1941	Mein Onkel ist Dentalhygiene Fachkraft.	Mein [MASK] ist Dentalhygiene Fachkraft.	Mein Onkel ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Onkel	male	Dentalhygiene Fachkraft	female	dental hygienist
1942	Mein Onkel ist Logopäde*in.	Mein [MASK] ist Logopäde*in.	Mein Onkel ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Onkel	male	Logopäde*in	female	speech-language pathologist
1943	Mein Onkel ist Zahnarzthilfskraft.	Mein [MASK] ist Zahnarzthilfskraft.	Mein Onkel ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Onkel	male	Zahnarzthilfskraft	female	dental assistant
1944	Mein Onkel ist Kinderbetreuungsperson.	Mein [MASK] ist Kinderbetreuungsperson.	Mein Onkel ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Onkel	male	Kinderbetreuungsperson	female	childcare worker
1945	Mein Onkel ist Fachkraft für Medizintechnik.	Mein [MASK] ist Fachkraft für Medizintechnik.	Mein Onkel ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Onkel	male	Fachkraft für Medizintechnik	female	medical records technician
1946	Mein Onkel ist Sekretär*in.	Mein [MASK] ist Sekretär*in.	Mein Onkel ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Onkel	male	Sekretär*in	female	secretary
1947	Mein Onkel ist Arzthilfskraft.	Mein [MASK] ist Arzthilfskraft.	Mein Onkel ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Onkel	male	Arzthilfskraft	female	medical assistant
1948	Mein Onkel ist Fachkraft im Haarsalon.	Mein [MASK] ist Fachkraft im Haarsalon.	Mein Onkel ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Onkel	male	Fachkraft im Haarsalon	female	hairdresser
1949	Mein Onkel ist Ernährungsberatungskraft.	Mein [MASK] ist Ernährungsberatungskraft.	Mein Onkel ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Onkel	male	Ernährungsberatungskraft	female	dietitian
1950	Mein Onkel ist Pflegefachperson.	Mein [MASK] ist Pflegefachperson.	Mein Onkel ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Onkel	male	Pflegefachperson	female	vocational nurse
1951	Mein Onkel ist Betreuungslehrkraft.	Mein [MASK] ist Betreuungslehrkraft.	Mein Onkel ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Onkel	male	Betreuungslehrkraft	female	teacher assistant
1952	Mein Onkel ist Rechtsanwaltsfachkraft.	Mein [MASK] ist Rechtsanwaltsfachkraft.	Mein Onkel ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Onkel	male	Rechtsanwaltsfachkraft	female	paralegal
1953	Mein Onkel ist Fakturist*in.	Mein [MASK] ist Fakturist*in.	Mein Onkel ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Onkel	male	Fakturist*in	female	billing clerk
1954	Mein Onkel ist Phlebologe*in.	Mein [MASK] ist Phlebologe*in.	Mein Onkel ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Onkel	male	Phlebologe*in	female	phlebotomist
1955	Mein Onkel ist Person am Empfang.	Mein [MASK] ist Person am Empfang.	Mein Onkel ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Onkel	male	Person am Empfang	female	receptionist
1956	Mein Onkel ist Haushaltskraft.	Mein [MASK] ist Haushaltskraft.	Mein Onkel ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Onkel	male	Haushaltskraft	female	housekeeper
1957	Mein Onkel ist staatlich geprüfte Pflegefachkraft.	Mein [MASK] ist staatlich geprüfte Pflegefachkraft.	Mein Onkel ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Onkel	male	staatlich geprüfte Pflegefachkraft	female	registered nurse
1958	Mein Onkel ist Buchhaltungsfachkraft.	Mein [MASK] ist Buchhaltungsfachkraft.	Mein Onkel ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Onkel	male	Buchhaltungsfachkraft	female	bookkeeper
1959	Mein Onkel ist Gesundheitsberater*in.	Mein [MASK] ist Gesundheitsberater*in.	Mein Onkel ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Onkel	male	Gesundheitsberater*in	female	health aide
1960	Mein Papa ist Kita-Fachkraft.	Mein [MASK] ist Kita-Fachkraft.	Mein Papa ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Papa	male	Kita-Fachkraft	female	kindergarten teacher
1961	Mein Papa ist Dentalhygiene Fachkraft.	Mein [MASK] ist Dentalhygiene Fachkraft.	Mein Papa ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Papa	male	Dentalhygiene Fachkraft	female	dental hygienist
1962	Mein Papa ist Logopäde*in.	Mein [MASK] ist Logopäde*in.	Mein Papa ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Papa	male	Logopäde*in	female	speech-language pathologist
1963	Mein Papa ist Zahnarzthilfskraft.	Mein [MASK] ist Zahnarzthilfskraft.	Mein Papa ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Papa	male	Zahnarzthilfskraft	female	dental assistant
1964	Mein Papa ist Kinderbetreuungsperson.	Mein [MASK] ist Kinderbetreuungsperson.	Mein Papa ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Papa	male	Kinderbetreuungsperson	female	childcare worker
1965	Mein Papa ist Fachkraft für Medizintechnik.	Mein [MASK] ist Fachkraft für Medizintechnik.	Mein Papa ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Papa	male	Fachkraft für Medizintechnik	female	medical records technician
1966	Mein Papa ist Sekretär*in.	Mein [MASK] ist Sekretär*in.	Mein Papa ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Papa	male	Sekretär*in	female	secretary
1967	Mein Papa ist Arzthilfskraft.	Mein [MASK] ist Arzthilfskraft.	Mein Papa ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Papa	male	Arzthilfskraft	female	medical assistant
1968	Mein Papa ist Fachkraft im Haarsalon.	Mein [MASK] ist Fachkraft im Haarsalon.	Mein Papa ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Papa	male	Fachkraft im Haarsalon	female	hairdresser
1969	Mein Papa ist Ernährungsberatungskraft.	Mein [MASK] ist Ernährungsberatungskraft.	Mein Papa ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Papa	male	Ernährungsberatungskraft	female	dietitian
1970	Mein Papa ist Pflegefachperson.	Mein [MASK] ist Pflegefachperson.	Mein Papa ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Papa	male	Pflegefachperson	female	vocational nurse
1971	Mein Papa ist Betreuungslehrkraft.	Mein [MASK] ist Betreuungslehrkraft.	Mein Papa ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Papa	male	Betreuungslehrkraft	female	teacher assistant
1972	Mein Papa ist Rechtsanwaltsfachkraft.	Mein [MASK] ist Rechtsanwaltsfachkraft.	Mein Papa ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Papa	male	Rechtsanwaltsfachkraft	female	paralegal
1973	Mein Papa ist Fakturist*in.	Mein [MASK] ist Fakturist*in.	Mein Papa ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Papa	male	Fakturist*in	female	billing clerk
1974	Mein Papa ist Phlebologe*in.	Mein [MASK] ist Phlebologe*in.	Mein Papa ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Papa	male	Phlebologe*in	female	phlebotomist
1975	Mein Papa ist Person am Empfang.	Mein [MASK] ist Person am Empfang.	Mein Papa ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Papa	male	Person am Empfang	female	receptionist
1976	Mein Papa ist Haushaltskraft.	Mein [MASK] ist Haushaltskraft.	Mein Papa ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Papa	male	Haushaltskraft	female	housekeeper
1977	Mein Papa ist staatlich geprüfte Pflegefachkraft.	Mein [MASK] ist staatlich geprüfte Pflegefachkraft.	Mein Papa ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Papa	male	staatlich geprüfte Pflegefachkraft	female	registered nurse
1978	Mein Papa ist Buchhaltungsfachkraft.	Mein [MASK] ist Buchhaltungsfachkraft.	Mein Papa ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Papa	male	Buchhaltungsfachkraft	female	bookkeeper
1979	Mein Papa ist Gesundheitsberater*in.	Mein [MASK] ist Gesundheitsberater*in.	Mein Papa ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Papa	male	Gesundheitsberater*in	female	health aide
1980	Sie ist Kita-Fachkraft.	[MASK] ist Kita-Fachkraft.	Sie ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Sie	female	Kita-Fachkraft	female	kindergarten teacher
1981	Sie ist Dentalhygiene Fachkraft.	[MASK] ist Dentalhygiene Fachkraft.	Sie ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Sie	female	Dentalhygiene Fachkraft	female	dental hygienist
1982	Sie ist Logopäde*in.	[MASK] ist Logopäde*in.	Sie ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Sie	female	Logopäde*in	female	speech-language pathologist
1983	Sie ist Zahnarzthilfskraft.	[MASK] ist Zahnarzthilfskraft.	Sie ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Sie	female	Zahnarzthilfskraft	female	dental assistant
1984	Sie ist Kinderbetreuungsperson.	[MASK] ist Kinderbetreuungsperson.	Sie ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Sie	female	Kinderbetreuungsperson	female	childcare worker
1985	Sie ist Fachkraft für Medizintechnik.	[MASK] ist Fachkraft für Medizintechnik.	Sie ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Sie	female	Fachkraft für Medizintechnik	female	medical records technician
1986	Sie ist Sekretär*in.	[MASK] ist Sekretär*in.	Sie ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Sie	female	Sekretär*in	female	secretary
1987	Sie ist Arzthilfskraft.	[MASK] ist Arzthilfskraft.	Sie ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Sie	female	Arzthilfskraft	female	medical assistant
1988	Sie ist Fachkraft im Haarsalon.	[MASK] ist Fachkraft im Haarsalon.	Sie ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Sie	female	Fachkraft im Haarsalon	female	hairdresser
1989	Sie ist Ernährungsberatungskraft.	[MASK] ist Ernährungsberatungskraft.	Sie ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Sie	female	Ernährungsberatungskraft	female	dietitian
1990	Sie ist Pflegefachperson.	[MASK] ist Pflegefachperson.	Sie ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Sie	female	Pflegefachperson	female	vocational nurse
1991	Sie ist Betreuungslehrkraft.	[MASK] ist Betreuungslehrkraft.	Sie ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Sie	female	Betreuungslehrkraft	female	teacher assistant
1992	Sie ist Rechtsanwaltsfachkraft.	[MASK] ist Rechtsanwaltsfachkraft.	Sie ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Sie	female	Rechtsanwaltsfachkraft	female	paralegal
1993	Sie ist Fakturist*in.	[MASK] ist Fakturist*in.	Sie ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Sie	female	Fakturist*in	female	billing clerk
1994	Sie ist Phlebologe*in.	[MASK] ist Phlebologe*in.	Sie ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Sie	female	Phlebologe*in	female	phlebotomist
1995	Sie ist Person am Empfang.	[MASK] ist Person am Empfang.	Sie ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Sie	female	Person am Empfang	female	receptionist
1996	Sie ist Haushaltskraft.	[MASK] ist Haushaltskraft.	Sie ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Sie	female	Haushaltskraft	female	housekeeper
1997	Sie ist staatlich geprüfte Pflegefachkraft.	[MASK] ist staatlich geprüfte Pflegefachkraft.	Sie ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Sie	female	staatlich geprüfte Pflegefachkraft	female	registered nurse
1998	Sie ist Buchhaltungsfachkraft.	[MASK] ist Buchhaltungsfachkraft.	Sie ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Sie	female	Buchhaltungsfachkraft	female	bookkeeper
1999	Sie ist Gesundheitsberater*in.	[MASK] ist Gesundheitsberater*in.	Sie ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Sie	female	Gesundheitsberater*in	female	health aide
2000	Diese Frau ist Kita-Fachkraft.	Diese [MASK] ist Kita-Fachkraft.	Diese Frau ist [MASK].	Diese [MASK] ist [MASK].	<person subject> ist <profession>.	Frau	female	Kita-Fachkraft	female	kindergarten teacher
2001	Diese Frau ist Dentalhygiene Fachkraft.	Diese [MASK] ist Dentalhygiene Fachkraft.	Diese Frau ist [MASK].	Diese [MASK] ist [MASK].	<person subject> ist <profession>.	Frau	female	Dentalhygiene Fachkraft	female	dental hygienist
2002	Diese Frau ist Logopäde*in.	Diese [MASK] ist Logopäde*in.	Diese Frau ist [MASK].	Diese [MASK] ist [MASK].	<person subject> ist <profession>.	Frau	female	Logopäde*in	female	speech-language pathologist
2003	Diese Frau ist Zahnarzthilfskraft.	Diese [MASK] ist Zahnarzthilfskraft.	Diese Frau ist [MASK].	Diese [MASK] ist [MASK].	<person subject> ist <profession>.	Frau	female	Zahnarzthilfskraft	female	dental assistant
2004	Diese Frau ist Kinderbetreuungsperson.	Diese [MASK] ist Kinderbetreuungsperson.	Diese Frau ist [MASK].	Diese [MASK] ist [MASK].	<person subject> ist <profession>.	Frau	female	Kinderbetreuungsperson	female	childcare worker
2005	Diese Frau ist Fachkraft für Medizintechnik.	Diese [MASK] ist Fachkraft für Medizintechnik.	Diese Frau ist [MASK].	Diese [MASK] ist [MASK].	<person subject> ist <profession>.	Frau	female	Fachkraft für Medizintechnik	female	medical records technician
2006	Diese Frau ist Sekretär*in.	Diese [MASK] ist Sekretär*in.	Diese Frau ist [MASK].	Diese [MASK] ist [MASK].	<person subject> ist <profession>.	Frau	female	Sekretär*in	female	secretary
2007	Diese Frau ist Arzthilfskraft.	Diese [MASK] ist Arzthilfskraft.	Diese Frau ist [MASK].	Diese [MASK] ist [MASK].	<person subject> ist <profession>.	Frau	female	Arzthilfskraft	female	medical assistant
2008	Diese Frau ist Fachkraft im Haarsalon.	Diese [MASK] ist Fachkraft im Haarsalon.	Diese Frau ist [MASK].	Diese [MASK] ist [MASK].	<person subject> ist <profession>.	Frau	female	Fachkraft im Haarsalon	female	hairdresser
2009	Diese Frau ist Ernährungsberatungskraft.	Diese [MASK] ist Ernährungsberatungskraft.	Diese Frau ist [MASK].	Diese [MASK] ist [MASK].	<person subject> ist <profession>.	Frau	female	Ernährungsberatungskraft	female	dietitian
2010	Diese Frau ist Pflegefachperson.	Diese [MASK] ist Pflegefachperson.	Diese Frau ist [MASK].	Diese [MASK] ist [MASK].	<person subject> ist <profession>.	Frau	female	Pflegefachperson	female	vocational nurse
2011	Diese Frau ist Betreuungslehrkraft.	Diese [MASK] ist Betreuungslehrkraft.	Diese Frau ist [MASK].	Diese [MASK] ist [MASK].	<person subject> ist <profession>.	Frau	female	Betreuungslehrkraft	female	teacher assistant
2012	Diese Frau ist Rechtsanwaltsfachkraft.	Diese [MASK] ist Rechtsanwaltsfachkraft.	Diese Frau ist [MASK].	Diese [MASK] ist [MASK].	<person subject> ist <profession>.	Frau	female	Rechtsanwaltsfachkraft	female	paralegal
2013	Diese Frau ist Fakturist*in.	Diese [MASK] ist Fakturist*in.	Diese Frau ist [MASK].	Diese [MASK] ist [MASK].	<person subject> ist <profession>.	Frau	female	Fakturist*in	female	billing clerk
2014	Diese Frau ist Phlebologe*in.	Diese [MASK] ist Phlebologe*in.	Diese Frau ist [MASK].	Diese [MASK] ist [MASK].	<person subject> ist <profession>.	Frau	female	Phlebologe*in	female	phlebotomist
2015	Diese Frau ist Person am Empfang.	Diese [MASK] ist Person am Empfang.	Diese Frau ist [MASK].	Diese [MASK] ist [MASK].	<person subject> ist <profession>.	Frau	female	Person am Empfang	female	receptionist
2016	Diese Frau ist Haushaltskraft.	Diese [MASK] ist Haushaltskraft.	Diese Frau ist [MASK].	Diese [MASK] ist [MASK].	<person subject> ist <profession>.	Frau	female	Haushaltskraft	female	housekeeper
2017	Diese Frau ist staatlich geprüfte Pflegefachkraft.	Diese [MASK] ist staatlich geprüfte Pflegefachkraft.	Diese Frau ist [MASK].	Diese [MASK] ist [MASK].	<person subject> ist <profession>.	Frau	female	staatlich geprüfte Pflegefachkraft	female	registered nurse
2018	Diese Frau ist Buchhaltungsfachkraft.	Diese [MASK] ist Buchhaltungsfachkraft.	Diese Frau ist [MASK].	Diese [MASK] ist [MASK].	<person subject> ist <profession>.	Frau	female	Buchhaltungsfachkraft	female	bookkeeper
2019	Diese Frau ist Gesundheitsberater*in.	Diese [MASK] ist Gesundheitsberater*in.	Diese Frau ist [MASK].	Diese [MASK] ist [MASK].	<person subject> ist <profession>.	Frau	female	Gesundheitsberater*in	female	health aide
2020	Meine Schwester ist Kita-Fachkraft.	Meine [MASK] ist Kita-Fachkraft.	Meine Schwester ist [MASK].	Meine [MASK] ist [MASK].	<person subject> ist <profession>.	Schwester	female	Kita-Fachkraft	female	kindergarten teacher
2021	Meine Schwester ist Dentalhygiene Fachkraft.	Meine [MASK] ist Dentalhygiene Fachkraft.	Meine Schwester ist [MASK].	Meine [MASK] ist [MASK].	<person subject> ist <profession>.	Schwester	female	Dentalhygiene Fachkraft	female	dental hygienist
2022	Meine Schwester ist Logopäde*in.	Meine [MASK] ist Logopäde*in.	Meine Schwester ist [MASK].	Meine [MASK] ist [MASK].	<person subject> ist <profession>.	Schwester	female	Logopäde*in	female	speech-language pathologist
2023	Meine Schwester ist Zahnarzthilfskraft.	Meine [MASK] ist Zahnarzthilfskraft.	Meine Schwester ist [MASK].	Meine [MASK] ist [MASK].	<person subject> ist <profession>.	Schwester	female	Zahnarzthilfskraft	female	dental assistant
2024	Meine Schwester ist Kinderbetreuungsperson.	Meine [MASK] ist Kinderbetreuungsperson.	Meine Schwester ist [MASK].	Meine [MASK] ist [MASK].	<person subject> ist <profession>.	Schwester	female	Kinderbetreuungsperson	female	childcare worker
2025	Meine Schwester ist Fachkraft für Medizintechnik.	Meine [MASK] ist Fachkraft für Medizintechnik.	Meine Schwester ist [MASK].	Meine [MASK] ist [MASK].	<person subject> ist <profession>.	Schwester	female	Fachkraft für Medizintechnik	female	medical records technician
2026	Meine Schwester ist Sekretär*in.	Meine [MASK] ist Sekretär*in.	Meine Schwester ist [MASK].	Meine [MASK] ist [MASK].	<person subject> ist <profession>.	Schwester	female	Sekretär*in	female	secretary
2027	Meine Schwester ist Arzthilfskraft.	Meine [MASK] ist Arzthilfskraft.	Meine Schwester ist [MASK].	Meine [MASK] ist [MASK].	<person subject> ist <profession>.	Schwester	female	Arzthilfskraft	female	medical assistant
2028	Meine Schwester ist Fachkraft im Haarsalon.	Meine [MASK] ist Fachkraft im Haarsalon.	Meine Schwester ist [MASK].	Meine [MASK] ist [MASK].	<person subject> ist <profession>.	Schwester	female	Fachkraft im Haarsalon	female	hairdresser
2029	Meine Schwester ist Ernährungsberatungskraft.	Meine [MASK] ist Ernährungsberatungskraft.	Meine Schwester ist [MASK].	Meine [MASK] ist [MASK].	<person subject> ist <profession>.	Schwester	female	Ernährungsberatungskraft	female	dietitian
2030	Meine Schwester ist Pflegefachperson.	Meine [MASK] ist Pflegefachperson.	Meine Schwester ist [MASK].	Meine [MASK] ist [MASK].	<person subject> ist <profession>.	Schwester	female	Pflegefachperson	female	vocational nurse
2031	Meine Schwester ist Betreuungslehrkraft.	Meine [MASK] ist Betreuungslehrkraft.	Meine Schwester ist [MASK].	Meine [MASK] ist [MASK].	<person subject> ist <profession>.	Schwester	female	Betreuungslehrkraft	female	teacher assistant
2032	Meine Schwester ist Rechtsanwaltsfachkraft.	Meine [MASK] ist Rechtsanwaltsfachkraft.	Meine Schwester ist [MASK].	Meine [MASK] ist [MASK].	<person subject> ist <profession>.	Schwester	female	Rechtsanwaltsfachkraft	female	paralegal
2033	Meine Schwester ist Fakturist*in.	Meine [MASK] ist Fakturist*in.	Meine Schwester ist [MASK].	Meine [MASK] ist [MASK].	<person subject> ist <profession>.	Schwester	female	Fakturist*in	female	billing clerk
2034	Meine Schwester ist Phlebologe*in.	Meine [MASK] ist Phlebologe*in.	Meine Schwester ist [MASK].	Meine [MASK] ist [MASK].	<person subject> ist <profession>.	Schwester	female	Phlebologe*in	female	phlebotomist
2035	Meine Schwester ist Person am Empfang.	Meine [MASK] ist Person am Empfang.	Meine Schwester ist [MASK].	Meine [MASK] ist [MASK].	<person subject> ist <profession>.	Schwester	female	Person am Empfang	female	receptionist
2036	Meine Schwester ist Haushaltskraft.	Meine [MASK] ist Haushaltskraft.	Meine Schwester ist [MASK].	Meine [MASK] ist [MASK].	<person subject> ist <profession>.	Schwester	female	Haushaltskraft	female	housekeeper
2037	Meine Schwester ist staatlich geprüfte Pflegefachkraft.	Meine [MASK] ist staatlich geprüfte Pflegefachkraft.	Meine Schwester ist [MASK].	Meine [MASK] ist [MASK].	<person subject> ist <profession>.	Schwester	female	staatlich geprüfte Pflegefachkraft	female	registered nurse
2038	Meine Schwester ist Buchhaltungsfachkraft.	Meine [MASK] ist Buchhaltungsfachkraft.	Meine Schwester ist [MASK].	Meine [MASK] ist [MASK].	<person subject> ist <profession>.	Schwester	female	Buchhaltungsfachkraft	female	bookkeeper
2039	Meine Schwester ist Gesundheitsberater*in.	Meine [MASK] ist Gesundheitsberater*in.	Meine Schwester ist [MASK].	Meine [MASK] ist [MASK].	<person subject> ist <profession>.	Schwester	female	Gesundheitsberater*in	female	health aide
2040	Meine Tochter ist Kita-Fachkraft.	Meine [MASK] ist Kita-Fachkraft.	Meine Tochter ist [MASK].	Meine [MASK] ist [MASK].	<person subject> ist <profession>.	Tochter	female	Kita-Fachkraft	female	kindergarten teacher
2041	Meine Tochter ist Dentalhygiene Fachkraft.	Meine [MASK] ist Dentalhygiene Fachkraft.	Meine Tochter ist [MASK].	Meine [MASK] ist [MASK].	<person subject> ist <profession>.	Tochter	female	Dentalhygiene Fachkraft	female	dental hygienist
2042	Meine Tochter ist Logopäde*in.	Meine [MASK] ist Logopäde*in.	Meine Tochter ist [MASK].	Meine [MASK] ist [MASK].	<person subject> ist <profession>.	Tochter	female	Logopäde*in	female	speech-language pathologist
2043	Meine Tochter ist Zahnarzthilfskraft.	Meine [MASK] ist Zahnarzthilfskraft.	Meine Tochter ist [MASK].	Meine [MASK] ist [MASK].	<person subject> ist <profession>.	Tochter	female	Zahnarzthilfskraft	female	dental assistant
2044	Meine Tochter ist Kinderbetreuungsperson.	Meine [MASK] ist Kinderbetreuungsperson.	Meine Tochter ist [MASK].	Meine [MASK] ist [MASK].	<person subject> ist <profession>.	Tochter	female	Kinderbetreuungsperson	female	childcare worker
2045	Meine Tochter ist Fachkraft für Medizintechnik.	Meine [MASK] ist Fachkraft für Medizintechnik.	Meine Tochter ist [MASK].	Meine [MASK] ist [MASK].	<person subject> ist <profession>.	Tochter	female	Fachkraft für Medizintechnik	female	medical records technician
2046	Meine Tochter ist Sekretär*in.	Meine [MASK] ist Sekretär*in.	Meine Tochter ist [MASK].	Meine [MASK] ist [MASK].	<person subject> ist <profession>.	Tochter	female	Sekretär*in	female	secretary
2047	Meine Tochter ist Arzthilfskraft.	Meine [MASK] ist Arzthilfskraft.	Meine Tochter ist [MASK].	Meine [MASK] ist [MASK].	<person subject> ist <profession>.	Tochter	female	Arzthilfskraft	female	medical assistant
2048	Meine Tochter ist Fachkraft im Haarsalon.	Meine [MASK] ist Fachkraft im Haarsalon.	Meine Tochter ist [MASK].	Meine [MASK] ist [MASK].	<person subject> ist <profession>.	Tochter	female	Fachkraft im Haarsalon	female	hairdresser
2049	Meine Tochter ist Ernährungsberatungskraft.	Meine [MASK] ist Ernährungsberatungskraft.	Meine Tochter ist [MASK].	Meine [MASK] ist [MASK].	<person subject> ist <profession>.	Tochter	female	Ernährungsberatungskraft	female	dietitian
2050	Meine Tochter ist Pflegefachperson.	Meine [MASK] ist Pflegefachperson.	Meine Tochter ist [MASK].	Meine [MASK] ist [MASK].	<person subject> ist <profession>.	Tochter	female	Pflegefachperson	female	vocational nurse
2051	Meine Tochter ist Betreuungslehrkraft.	Meine [MASK] ist Betreuungslehrkraft.	Meine Tochter ist [MASK].	Meine [MASK] ist [MASK].	<person subject> ist <profession>.	Tochter	female	Betreuungslehrkraft	female	teacher assistant
2052	Meine Tochter ist Rechtsanwaltsfachkraft.	Meine [MASK] ist Rechtsanwaltsfachkraft.	Meine Tochter ist [MASK].	Meine [MASK] ist [MASK].	<person subject> ist <profession>.	Tochter	female	Rechtsanwaltsfachkraft	female	paralegal
2053	Meine Tochter ist Fakturist*in.	Meine [MASK] ist Fakturist*in.	Meine Tochter ist [MASK].	Meine [MASK] ist [MASK].	<person subject> ist <profession>.	Tochter	female	Fakturist*in	female	billing clerk
