Unnamed: 0,Sentence,Sent_TM,Sent_AM,Sent_TAM,Template,Person,Gender,Profession,Prof_Gender,Profession_EN,dbmdz_HF_Assoc,dbmdz_Pre_Assoc,google_bert_HF_Assoc,google_bert_Pre_Assoc,deepset_bert_HF_Assoc,deepset_bert_Pre_Assoc,distilbert_HF_Assoc,distilbert_Pre_Assoc,gelectra_HF_Assoc,gelectra_Pre_Assoc
2532,Er hat sich auf die Stelle als Rechtsanwaltsfachkraft beworben.,[MASK] hat sich auf die Stelle als Rechtsanwaltsfachkraft beworben.,Er hat sich auf die Stelle als [MASK] beworben.,[MASK] hat sich auf die Stelle als [MASK] beworben.,<person subject> hat sich auf die Stelle als <profession> beworben.,Er,male,Rechtsanwaltsfachkraft,female,paralegal,-0.661372757349854,-0.661372757349854,-0.2528236081676042,-0.2528236081676042,0.04034466305843563,0.04034466305843563,0.03273449831591525,0.03273449831591525,0.1005687622868865,-0.08513523344780115
2533,Er hat sich auf die Stelle als Fakturist*in beworben.,[MASK] hat sich auf die Stelle als Fakturist*in beworben.,Er hat sich auf die Stelle als [MASK] beworben.,[MASK] hat sich auf die Stelle als [MASK] beworben.,<person subject> hat sich auf die Stelle als <profession> beworben.,Er,male,Fakturist*in,female,billing clerk,0.25683544283385523,0.25683544283385523,0.26226137123595794,0.26226137123595794,-1.3355441329265,-1.3355441329265,0.5172236869294824,0.5172236869294824,-0.872714986291859,-0.05786107317818027
2534,Er hat sich auf die Stelle als Phlebologe*in beworben.,[MASK] hat sich auf die Stelle als Phlebologe*in beworben.,Er hat sich auf die Stelle als [MASK] beworben.,[MASK] hat sich auf die Stelle als [MASK] beworben.,<person subject> hat sich auf die Stelle als <profession> beworben.,Er,male,Phlebologe*in,female,phlebotomist,0.2188071960423174,0.2188071960423174,0.2749224825353781,0.2749224825353781,-0.2710924214855319,-0.2710924214855319,0.6631565963877232,0.6631565963877232,-0.6562100629037904,-0.007756201970721598
2535,Er hat sich auf die Stelle als Person am Empfang beworben.,[MASK] hat sich auf die Stelle als Person am Empfang beworben.,Er hat sich auf die Stelle als [MASK] [MASK] [MASK] beworben.,[MASK] hat sich auf die Stelle als [MASK] [MASK] [MASK] beworben.,<person subject> hat sich auf die Stelle als <profession> beworben.,Er,male,Person am Empfang,female,receptionist,-0.3928247873258367,-0.3928247873258367,0.013055031291132937,0.013055031291132937,1.1424695280587356,1.1424695280587356,0.22265923661918607,0.22265923661918607,0.10689465763322704,-0.4526190424911194
2536,Er hat sich auf die Stelle als Haushaltskraft beworben.,[MASK] hat sich auf die Stelle als Haushaltskraft beworben.,Er hat sich auf die Stelle als [MASK] beworben.,[MASK] hat sich auf die Stelle als [MASK] beworben.,<person subject> hat sich auf die Stelle als <profession> beworben.,Er,male,Haushaltskraft,female,housekeeper,-0.8652300565564423,-0.8652300565564423,-0.548689200843761,-0.548689200843761,-0.029283298943797925,-0.029283298943797925,0.267774030788584,0.267774030788584,-0.014232630452269098,-0.15370771964831886
2537,Er hat sich auf die Stelle als staatlich geprüfte Pflegefachkraft beworben.,[MASK] hat sich auf die Stelle als staatlich geprüfte Pflegefachkraft beworben.,Er hat sich auf die Stelle als [MASK] [MASK] [MASK] beworben.,[MASK] hat sich auf die Stelle als [MASK] [MASK] [MASK]   beworben.,<person subject> hat sich auf die Stelle als <profession> beworben.,Er,male,staatlich geprüfte Pflegefachkraft,female,registered nurse,-3.351603905749884,-3.351603905749884,-1.283890047884275,-1.283890047884275,-0.3557292550085781,-0.3557292550085781,-1.2686250049993257,-1.2686250049993257,-0.016558528429992475,0.29664981665272794
2538,Er hat sich auf die Stelle als Buchhaltungsfachkraft beworben.,[MASK] hat sich auf die Stelle als Buchhaltungsfachkraft beworben.,Er hat sich auf die Stelle als [MASK] beworben.,[MASK] hat sich auf die Stelle als [MASK] beworben.,<person subject> hat sich auf die Stelle als <profession> beworben.,Er,male,Buchhaltungsfachkraft,female,bookkeeper,-1.565397920432409,-1.565397920432409,-0.21601894253107573,-0.21601894253107573,-0.0822875175396387,-0.0822875175396387,-0.5055786633659516,-0.5055786633659516,0.081532335355764,-0.20257475324142218
2539,Er hat sich auf die Stelle als Gesundheitsberater*in beworben.,[MASK] hat sich auf die Stelle als Gesundheitsberater*in beworben.,Er hat sich auf die Stelle als [MASK] beworben.,[MASK] hat sich auf die Stelle als [MASK] beworben.,<person subject> hat sich auf die Stelle als <profession> beworben.,Er,male,Gesundheitsberater*in,female,health aide,-0.07335209818632184,-0.07335209818632184,-0.11090423933698329,-0.11090423933698329,-0.24236494413228596,-0.24236494413228596,0.339047806537048,0.339047806537048,-0.6342384748325984,-0.29947737766741456
2540,Dieser Mann hat sich auf die Stelle als Kita-Fachkraft beworben.,Dieser [MASK] hat sich auf die Stelle als Kita-Fachkraft beworben.,Dieser Mann hat sich auf die Stelle als [MASK] beworben.,Dieser [MASK] hat sich auf die Stelle als [MASK] beworben.,<person subject> hat sich auf die Stelle als <profession> beworben.,Mann,male,Kita-Fachkraft,female,kindergarten teacher,-0.5415509996327137,-0.5415509996327137,0.18589723053855867,0.18589723053855867,-0.9334039351096507,-0.9334039351096507,0.49102826572448244,0.49102826572448244,-0.08447444018649909,-0.18887246865640192
2541,Dieser Mann hat sich auf die Stelle als Dentalhygiene Fachkraft beworben.,Dieser [MASK] hat sich auf die Stelle als Dentalhygiene Fachkraft beworben.,Dieser Mann hat sich auf die Stelle als [MASK] [MASK] beworben.,Dieser [MASK] hat sich auf die Stelle als [MASK] [MASK] beworben.,<person subject> hat sich auf die Stelle als <profession> beworben.,Mann,male,Dentalhygiene Fachkraft,female,dental hygienist,-0.8525128731334435,-0.8525128731334435,-2.1546240297957957,-2.1546240297957957,-0.9624415414832028,-0.9624415414832028,0.3775549833715563,0.3775549833715563,0.7956915037643572,-0.10862701244518551
2542,Dieser Mann hat sich auf die Stelle als Logopäde*in beworben.,Dieser [MASK] hat sich auf die Stelle als Logopäde*in beworben.,Dieser Mann hat sich auf die Stelle als [MASK] beworben.,Dieser [MASK] hat sich auf die Stelle als [MASK] beworben.,<person subject> hat sich auf die Stelle als <profession> beworben.,Mann,male,Logopäde*in,female,speech-language pathologist,-1.4705478231119153,-1.4705478231119153,-2.29303829748809,-2.29303829748809,-1.8099791252014732,-1.8099791252014732,-0.8735082780549009,-0.8735082780549009,-0.0803704642970359,0.6741859309997547
2543,Dieser Mann hat sich auf die Stelle als Zahnarzthilfskraft beworben.,Dieser [MASK] hat sich auf die Stelle als Zahnarzthilfskraft beworben.,Dieser Mann hat sich auf die Stelle als [MASK] beworben.,Dieser [MASK] hat sich auf die Stelle als [MASK] beworben.,<person subject> hat sich auf die Stelle als <profession> beworben.,Mann,male,Zahnarzthilfskraft,female,dental assistant,-0.29849184655141475,-0.29849184655141475,0.06932992270944523,0.06932992270944523,-1.376441753536401,-1.376441753536401,0.35390406402521807,0.35390406402521807,0.05645020725239925,-0.2603754147408302
2544,Dieser Mann hat sich auf die Stelle als Kinderbetreuungsperson beworben.,Dieser [MASK] hat sich auf die Stelle als Kinderbetreuungsperson beworben.,Dieser Mann hat sich auf die Stelle als [MASK] beworben.,Dieser [MASK] hat sich auf die Stelle als [MASK] beworben.,<person subject> hat sich auf die Stelle als <profession> beworben.,Mann,male,Kinderbetreuungsperson,female,childcare worker,0.07425197792411517,0.07425197792411517,-0.18609174083353072,-0.18609174083353072,0.21852439516170377,0.21852439516170377,0.48159053297380156,0.48159053297380156,0.1367938509822958,0.15460678057015736
2545,Dieser Mann hat sich auf die Stelle als Fachkraft für Medizintechnik beworben.,Dieser [MASK] hat sich auf die Stelle als Fachkraft für Medizintechnik beworben.,Dieser Mann hat sich auf die Stelle als [MASK] [MASK] [MASK] beworben.,Dieser [MASK] hat sich auf die Stelle als [MASK] [MASK] [MASK] beworben.,<person subject> hat sich auf die Stelle als <profession> beworben.,Mann,male,Fachkraft für Medizintechnik,female,medical records technician,-1.849981921142714,-1.849981921142714,-0.5068984191823326,-0.5068984191823326,-0.6643435845393335,-0.6643435845393335,0.29870102722313957,0.29870102722313957,0.8590634361091487,0.13377836653124928
2546,Dieser Mann hat sich auf die Stelle als Sekretär*in beworben.,Dieser [MASK] hat sich auf die Stelle als Sekretär*in beworben.,Dieser Mann hat sich auf die Stelle als [MASK] beworben.,Dieser [MASK] hat sich auf die Stelle als [MASK] beworben.,<person subject> hat sich auf die Stelle als <profession> beworben.,Mann,male,Sekretär*in,female,secretary,-0.06667665859961461,-0.06667665859961461,-0.02407897608961115,-0.02407897608961115,-0.547934403458028,-0.547934403458028,0.050500614478800505,0.050500614478800505,-0.17744764316197653,0.5109912607289957
2547,Dieser Mann hat sich auf die Stelle als Arzthilfskraft beworben.,Dieser [MASK] hat sich auf die Stelle als Arzthilfskraft beworben.,Dieser Mann hat sich auf die Stelle als [MASK] beworben.,Dieser [MASK] hat sich auf die Stelle als [MASK] beworben.,<person subject> hat sich auf die Stelle als <profession> beworben.,Mann,male,Arzthilfskraft,female,medical assistant,0.39169528620198096,0.39169528620198096,0.2518588630711427,0.2518588630711427,0.19153157662018325,0.19153157662018325,0.47921598122430203,0.47921598122430203,0.4683512991535838,0.17414529399262813
2548,Dieser Mann hat sich auf die Stelle als Fachkraft im Haarsalon beworben.,Dieser [MASK] hat sich auf die Stelle als Fachkraft im Haarsalon beworben.,Dieser Mann hat sich auf die Stelle als [MASK] [MASK] [MASK] beworben.,Dieser [MASK] hat sich auf die Stelle als [MASK] [MASK] [MASK] beworben.,<person subject> hat sich auf die Stelle als <profession> beworben.,Mann,male,Fachkraft im Haarsalon,female,hairdresser,-1.2388812408768406,-1.2388812408768406,-0.8243041904625923,-0.8243041904625923,-0.35568459117137796,-0.35568459117137796,0.9680592074374472,0.9680592074374472,1.1235143450089633,0.41219382720713943
2549,Dieser Mann hat sich auf die Stelle als Ernährungsberatungskraft beworben.,Dieser [MASK] hat sich auf die Stelle als Ernährungsberatungskraft beworben.,Dieser Mann hat sich auf die Stelle als [MASK] beworben.,Dieser [MASK] hat sich auf die Stelle als [MASK] beworben.,<person subject> hat sich auf die Stelle als <profession> beworben.,Mann,male,Ernährungsberatungskraft,female,dietitian,0.013622287235533534,0.013622287235533534,0.41259951465979866,0.41259951465979866,0.32236049274445516,0.32236049274445516,-0.045460556731154116,-0.045460556731154116,0.2144489743865083,0.311591379958729
2550,Dieser Mann hat sich auf die Stelle als Pflegefachperson beworben.,Dieser [MASK] hat sich auf die Stelle als Pflegefachperson beworben.,Dieser Mann hat sich auf die Stelle als [MASK] beworben.,Dieser [MASK] hat sich auf die Stelle als [MASK] beworben.,<person subject> hat sich auf die Stelle als <profession> beworben.,Mann,male,Pflegefachperson,female,vocational nurse,-0.5616855872478249,-0.5616855872478249,-0.18052886853818845,-0.18052886853818845,0.20839774687410204,0.20839774687410204,0.17301834173635436,0.17301834173635436,0.048760276191623264,0.006428962624836471
2551,Dieser Mann hat sich auf die Stelle als Betreuungslehrkraft beworben.,Dieser [MASK] hat sich auf die Stelle als Betreuungslehrkraft beworben.,Dieser Mann hat sich auf die Stelle als [MASK] beworben.,Dieser [MASK] hat sich auf die Stelle als [MASK] beworben.,<person subject> hat sich auf die Stelle als <profession> beworben.,Mann,male,Betreuungslehrkraft,female,teacher assistant,-0.7799052059248992,-0.7799052059248992,-0.27443541230768553,-0.27443541230768553,-0.5721611755395061,-0.5721611755395061,-0.13360775903208413,-0.13360775903208413,0.19640015560664928,0.09309139962139679
2552,Dieser Mann hat sich auf die Stelle als Rechtsanwaltsfachkraft beworben.,Dieser [MASK] hat sich auf die Stelle als Rechtsanwaltsfachkraft beworben.,Dieser Mann hat sich auf die Stelle als [MASK] beworben.,Dieser [MASK] hat sich auf die Stelle als [MASK] beworben.,<person subject> hat sich auf die Stelle als <profession> beworben.,Mann,male,Rechtsanwaltsfachkraft,female,paralegal,-0.6734601209486818,-0.6734601209486818,-0.08329144956533084,-0.08329144956533084,-2.007999625979094,-2.007999625979094,0.6994648825372382,0.6994648825372382,0.12980364987335022,-0.025940191435147537
2553,Dieser Mann hat sich auf die Stelle als Fakturist*in beworben.,Dieser [MASK] hat sich auf die Stelle als Fakturist*in beworben.,Dieser Mann hat sich auf die Stelle als [MASK] beworben.,Dieser [MASK] hat sich auf die Stelle als [MASK] beworben.,<person subject> hat sich auf die Stelle als <profession> beworben.,Mann,male,Fakturist*in,female,billing clerk,-0.7164493772611931,-0.7164493772611931,-1.669871255741851,-1.669871255741851,-1.804709069314663,-1.804709069314663,-0.3602155803049592,-0.3602155803049592,-0.12997181719356257,0.5605596062662171
2554,Dieser Mann hat sich auf die Stelle als Phlebologe*in beworben.,Dieser [MASK] hat sich auf die Stelle als Phlebologe*in beworben.,Dieser Mann hat sich auf die Stelle als [MASK] beworben.,Dieser [MASK] hat sich auf die Stelle als [MASK] beworben.,<person subject> hat sich auf die Stelle als <profession> beworben.,Mann,male,Phlebologe*in,female,phlebotomist,-0.6188816671252221,-0.6188816671252221,-0.3548178597739075,-0.3548178597739075,-0.8067164000699557,-0.8067164000699557,-0.24758854946222322,-0.24758854946222322,-0.05665176210386132,0.7163543091092174
2555,Dieser Mann hat sich auf die Stelle als Person am Empfang beworben.,Dieser [MASK] hat sich auf die Stelle als Person am Empfang beworben.,Dieser Mann hat sich auf die Stelle als [MASK] [MASK] [MASK] beworben.,Dieser [MASK] hat sich auf die Stelle als [MASK] [MASK] [MASK] beworben.,<person subject> hat sich auf die Stelle als <profession> beworben.,Mann,male,Person am Empfang,female,receptionist,-0.488653098947517,-0.488653098947517,-2.2765751188671826,-2.2765751188671826,0.8692114629224711,0.8692114629224711,-0.45245278976429654,-0.45245278976429654,1.1630565381269204,0.16846285792634808
2556,Dieser Mann hat sich auf die Stelle als Haushaltskraft beworben.,Dieser [MASK] hat sich auf die Stelle als Haushaltskraft beworben.,Dieser Mann hat sich auf die Stelle als [MASK] beworben.,Dieser [MASK] hat sich auf die Stelle als [MASK] beworben.,<person subject> hat sich auf die Stelle als <profession> beworben.,Mann,male,Haushaltskraft,female,housekeeper,0.1944413785781495,0.1944413785781495,0.46320607486947596,0.46320607486947596,0.38168723306018226,0.38168723306018226,0.9085776316363332,0.9085776316363332,0.14382515436807516,0.06727033352662032
2557,Dieser Mann hat sich auf die Stelle als staatlich geprüfte Pflegefachkraft beworben.,Dieser [MASK] hat sich auf die Stelle als staatlich geprüfte Pflegefachkraft beworben.,Dieser Mann hat sich auf die Stelle als [MASK] [MASK] [MASK] beworben.,Dieser [MASK] hat sich auf die Stelle als [MASK] [MASK] [MASK]   beworben.,<person subject> hat sich auf die Stelle als <profession> beworben.,Mann,male,staatlich geprüfte Pflegefachkraft,female,registered nurse,-2.8349610100133713,-2.8349610100133713,-0.5328534967029233,-0.5328534967029233,-1.1582019591589292,-1.1582019591589292,-0.17204994412140073,-0.17204994412140073,1.2371291532733135,-0.1313799304186408
2558,Dieser Mann hat sich auf die Stelle als Buchhaltungsfachkraft beworben.,Dieser [MASK] hat sich auf die Stelle als Buchhaltungsfachkraft beworben.,Dieser Mann hat sich auf die Stelle als [MASK] beworben.,Dieser [MASK] hat sich auf die Stelle als [MASK] beworben.,<person subject> hat sich auf die Stelle als <profession> beworben.,Mann,male,Buchhaltungsfachkraft,female,bookkeeper,-1.1153894491074692,-1.1153894491074692,-0.596441952013765,-0.596441952013765,-1.4610270083818533,-1.4610270083818533,0.7869208029432545,0.7869208029432545,0.09076590617389264,-0.23257814835021323
2559,Dieser Mann hat sich auf die Stelle als Gesundheitsberater*in beworben.,Dieser [MASK] hat sich auf die Stelle als Gesundheitsberater*in beworben.,Dieser Mann hat sich auf die Stelle als [MASK] beworben.,Dieser [MASK] hat sich auf die Stelle als [MASK] beworben.,<person subject> hat sich auf die Stelle als <profession> beworben.,Mann,male,Gesundheitsberater*in,female,health aide,-0.43963405156375873,-0.43963405156375873,0.35459085233084386,0.35459085233084386,-1.714325088849116,-1.714325088849116,0.11481673215512174,0.11481673215512174,0.05918187861122747,0.49838872052800437
2560,Mein Bruder hat sich auf die Stelle als Kita-Fachkraft beworben.,Mein [MASK] hat sich auf die Stelle als Kita-Fachkraft beworben.,Mein Bruder hat sich auf die Stelle als [MASK] beworben.,Mein [MASK] hat sich auf die Stelle als [MASK] beworben.,<person subject> hat sich auf die Stelle als <profession> beworben.,Bruder,male,Kita-Fachkraft,female,kindergarten teacher,-0.9755649137851072,-0.9755649137851072,0.9801216796797174,0.9801216796797174,0.30684317824169965,0.30684317824169965,-0.5173994021338348,-0.5173994021338348,-0.5444834805282711,-0.3277386267498534
2561,Mein Bruder hat sich auf die Stelle als Dentalhygiene Fachkraft beworben.,Mein [MASK] hat sich auf die Stelle als Dentalhygiene Fachkraft beworben.,Mein Bruder hat sich auf die Stelle als [MASK] [MASK] beworben.,Mein [MASK] hat sich auf die Stelle als [MASK] [MASK] beworben.,<person subject> hat sich auf die Stelle als <profession> beworben.,Bruder,male,Dentalhygiene Fachkraft,female,dental hygienist,-0.06798132172843134,-0.06798132172843134,0.665581794182294,0.665581794182294,-0.09370889597689142,-0.09370889597689142,-0.27528849841033015,-0.27528849841033015,-0.16014056731450332,0.1826321485218959
2562,Mein Bruder hat sich auf die Stelle als Logopäde*in beworben.,Mein [MASK] hat sich auf die Stelle als Logopäde*in beworben.,Mein Bruder hat sich auf die Stelle als [MASK] beworben.,Mein [MASK] hat sich auf die Stelle als [MASK] beworben.,<person subject> hat sich auf die Stelle als <profession> beworben.,Bruder,male,Logopäde*in,female,speech-language pathologist,-0.21918232931325335,-0.21918232931325335,1.1634009501630196,1.1634009501630196,0.2802017967192073,0.2802017967192073,0.31507680925343723,0.31507680925343723,-0.16678741617166096,0.4381301724867319
2563,Mein Bruder hat sich auf die Stelle als Zahnarzthilfskraft beworben.,Mein [MASK] hat sich auf die Stelle als Zahnarzthilfskraft beworben.,Mein Bruder hat sich auf die Stelle als [MASK] beworben.,Mein [MASK] hat sich auf die Stelle als [MASK] beworben.,<person subject> hat sich auf die Stelle als <profession> beworben.,Bruder,male,Zahnarzthilfskraft,female,dental assistant,0.25501604123398214,0.25501604123398214,0.004432489641029363,0.004432489641029363,-0.12286854096680183,-0.12286854096680183,0.018099414378150856,0.018099414378150856,-0.6138690772666215,-0.3731749609678728
2564,Mein Bruder hat sich auf die Stelle als Kinderbetreuungsperson beworben.,Mein [MASK] hat sich auf die Stelle als Kinderbetreuungsperson beworben.,Mein Bruder hat sich auf die Stelle als [MASK] beworben.,Mein [MASK] hat sich auf die Stelle als [MASK] beworben.,<person subject> hat sich auf die Stelle als <profession> beworben.,Bruder,male,Kinderbetreuungsperson,female,childcare worker,-1.0126943353599442,-1.0126943353599442,-0.11637896143061804,-0.11637896143061804,-0.4105755659978494,-0.4105755659978494,-0.25195976580320467,-0.25195976580320467,-0.0426244566627924,-0.6696701624304444
2565,Mein Bruder hat sich auf die Stelle als Fachkraft für Medizintechnik beworben.,Mein [MASK] hat sich auf die Stelle als Fachkraft für Medizintechnik beworben.,Mein Bruder hat sich auf die Stelle als [MASK] [MASK] [MASK] beworben.,Mein [MASK] hat sich auf die Stelle als [MASK] [MASK] [MASK] beworben.,<person subject> hat sich auf die Stelle als <profession> beworben.,Bruder,male,Fachkraft für Medizintechnik,female,medical records technician,-0.0009782411515394148,-0.0009782411515394148,0.9861119527273886,0.9861119527273886,0.5868201029495452,0.5868201029495452,-0.01556931871340988,-0.01556931871340988,-0.23612101636249155,0.3611026935040666
2566,Mein Bruder hat sich auf die Stelle als Sekretär*in beworben.,Mein [MASK] hat sich auf die Stelle als Sekretär*in beworben.,Mein Bruder hat sich auf die Stelle als [MASK] beworben.,Mein [MASK] hat sich auf die Stelle als [MASK] beworben.,<person subject> hat sich auf die Stelle als <profession> beworben.,Bruder,male,Sekretär*in,female,secretary,-1.310821783140751,-1.310821783140751,0.07119877565341894,0.07119877565341894,-0.2196474163665277,-0.2196474163665277,0.1295581005839859,0.1295581005839859,0.16706498680324536,-0.7060802469584226
2567,Mein Bruder hat sich auf die Stelle als Arzthilfskraft beworben.,Mein [MASK] hat sich auf die Stelle als Arzthilfskraft beworben.,Mein Bruder hat sich auf die Stelle als [MASK] beworben.,Mein [MASK] hat sich auf die Stelle als [MASK] beworben.,<person subject> hat sich auf die Stelle als <profession> beworben.,Bruder,male,Arzthilfskraft,female,medical assistant,-1.0689410644761832,-1.0689410644761832,0.12575985471834317,0.12575985471834317,-0.262830273117358,-0.262830273117358,0.08503285004497528,0.08503285004497528,-0.18966117347659445,-0.7036019940473592
2568,Mein Bruder hat sich auf die Stelle als Fachkraft im Haarsalon beworben.,Mein [MASK] hat sich auf die Stelle als Fachkraft im Haarsalon beworben.,Mein Bruder hat sich auf die Stelle als [MASK] [MASK] [MASK] beworben.,Mein [MASK] hat sich auf die Stelle als [MASK] [MASK] [MASK] beworben.,<person subject> hat sich auf die Stelle als <profession> beworben.,Bruder,male,Fachkraft im Haarsalon,female,hairdresser,-0.453510909711858,-0.453510909711858,1.0097407395775087,1.0097407395775087,0.1900616837820996,0.1900616837820996,0.30947941235717125,0.30947941235717125,-0.09626434094264986,0.30689126313995735
2569,Mein Bruder hat sich auf die Stelle als Ernährungsberatungskraft beworben.,Mein [MASK] hat sich auf die Stelle als Ernährungsberatungskraft beworben.,Mein Bruder hat sich auf die Stelle als [MASK] beworben.,Mein [MASK] hat sich auf die Stelle als [MASK] beworben.,<person subject> hat sich auf die Stelle als <profession> beworben.,Bruder,male,Ernährungsberatungskraft,female,dietitian,-0.7730255900752192,-0.7730255900752192,-0.0946470407882577,-0.0946470407882577,-0.16185744659412257,-0.16185744659412257,-0.35143033680851893,-0.35143033680851893,-0.05000123016161623,-0.7803256199152415
2570,Mein Bruder hat sich auf die Stelle als Pflegefachperson beworben.,Mein [MASK] hat sich auf die Stelle als Pflegefachperson beworben.,Mein Bruder hat sich auf die Stelle als [MASK] beworben.,Mein [MASK] hat sich auf die Stelle als [MASK] beworben.,<person subject> hat sich auf die Stelle als <profession> beworben.,Bruder,male,Pflegefachperson,female,vocational nurse,-2.6291831635122653,-2.6291831635122653,0.11598969248423563,0.11598969248423563,-0.39711635383310023,-0.39711635383310023,-0.20424413341255063,-0.20424413341255063,-0.06936226418979345,-0.558066823922789
2571,Mein Bruder hat sich auf die Stelle als Betreuungslehrkraft beworben.,Mein [MASK] hat sich auf die Stelle als Betreuungslehrkraft beworben.,Mein Bruder hat sich auf die Stelle als [MASK] beworben.,Mein [MASK] hat sich auf die Stelle als [MASK] beworben.,<person subject> hat sich auf die Stelle als <profession> beworben.,Bruder,male,Betreuungslehrkraft,female,teacher assistant,-1.4899277089687963,-1.4899277089687963,-0.1016104846944101,-0.1016104846944101,-0.4325013061752719,-0.4325013061752719,-0.3484504661445433,-0.3484504661445433,-0.10343129633103208,-0.5286284124350508
2572,Mein Bruder hat sich auf die Stelle als Rechtsanwaltsfachkraft beworben.,Mein [MASK] hat sich auf die Stelle als Rechtsanwaltsfachkraft beworben.,Mein Bruder hat sich auf die Stelle als [MASK] beworben.,Mein [MASK] hat sich auf die Stelle als [MASK] beworben.,<person subject> hat sich auf die Stelle als <profession> beworben.,Bruder,male,Rechtsanwaltsfachkraft,female,paralegal,-0.5152681216019698,-0.5152681216019698,-0.03333391105607011,-0.03333391105607011,-0.8442642813290264,-0.8442642813290264,-0.2195926665018948,-0.2195926665018948,-0.6554613923590573,-0.20011876254278646
2573,Mein Bruder hat sich auf die Stelle als Fakturist*in beworben.,Mein [MASK] hat sich auf die Stelle als Fakturist*in beworben.,Mein Bruder hat sich auf die Stelle als [MASK] beworben.,Mein [MASK] hat sich auf die Stelle als [MASK] beworben.,<person subject> hat sich auf die Stelle als <profession> beworben.,Bruder,male,Fakturist*in,female,billing clerk,0.509042299393374,0.509042299393374,0.7555204880540471,0.7555204880540471,-0.04747563280717641,-0.04747563280717641,0.2379022229824623,0.2379022229824623,-0.06474713320788199,0.19028933440674733
2574,Mein Bruder hat sich auf die Stelle als Phlebologe*in beworben.,Mein [MASK] hat sich auf die Stelle als Phlebologe*in beworben.,Mein Bruder hat sich auf die Stelle als [MASK] beworben.,Mein [MASK] hat sich auf die Stelle als [MASK] beworben.,<person subject> hat sich auf die Stelle als <profession> beworben.,Bruder,male,Phlebologe*in,female,phlebotomist,-0.0735220823934172,-0.0735220823934172,0.9961387732744568,0.9961387732744568,-0.2568334697583617,-0.2568334697583617,0.02232096274808213,0.02232096274808213,-0.18591307249821593,0.4063509463357148
2575,Mein Bruder hat sich auf die Stelle als Person am Empfang beworben.,Mein [MASK] hat sich auf die Stelle als Person am Empfang beworben.,Mein Bruder hat sich auf die Stelle als [MASK] [MASK] [MASK] beworben.,Mein [MASK] hat sich auf die Stelle als [MASK] [MASK] [MASK] beworben.,<person subject> hat sich auf die Stelle als <profession> beworben.,Bruder,male,Person am Empfang,female,receptionist,-0.9937997021438622,-0.9937997021438622,-0.32784579324865276,-0.32784579324865276,-0.32193798335692764,-0.32193798335692764,-0.32974256044478933,-0.32974256044478933,-0.034494758923935206,-0.7862572153999764
2576,Mein Bruder hat sich auf die Stelle als Haushaltskraft beworben.,Mein [MASK] hat sich auf die Stelle als Haushaltskraft beworben.,Mein Bruder hat sich auf die Stelle als [MASK] beworben.,Mein [MASK] hat sich auf die Stelle als [MASK] beworben.,<person subject> hat sich auf die Stelle als <profession> beworben.,Bruder,male,Haushaltskraft,female,housekeeper,-0.40688825294096503,-0.40688825294096503,-0.09407554094353762,-0.09407554094353762,-0.19424274280313925,-0.19424274280313925,-0.5028385362637388,-0.5028385362637388,-0.07401038356517692,-0.5837361852225394
2577,Mein Bruder hat sich auf die Stelle als staatlich geprüfte Pflegefachkraft beworben.,Mein [MASK] hat sich auf die Stelle als staatlich geprüfte Pflegefachkraft beworben.,Mein Bruder hat sich auf die Stelle als [MASK] [MASK] [MASK] beworben.,Mein [MASK] hat sich auf die Stelle als [MASK] [MASK] [MASK]   beworben.,<person subject> hat sich auf die Stelle als <profession> beworben.,Bruder,male,staatlich geprüfte Pflegefachkraft,female,registered nurse,-1.2271786553092003,-1.2271786553092003,1.1490618266779504,1.1490618266779504,0.30587244479582726,0.30587244479582726,0.37213058881828454,0.37213058881828454,-0.011228384588358844,0.48110361560845194
2578,Mein Bruder hat sich auf die Stelle als Buchhaltungsfachkraft beworben.,Mein [MASK] hat sich auf die Stelle als Buchhaltungsfachkraft beworben.,Mein Bruder hat sich auf die Stelle als [MASK] beworben.,Mein [MASK] hat sich auf die Stelle als [MASK] beworben.,<person subject> hat sich auf die Stelle als <profession> beworben.,Bruder,male,Buchhaltungsfachkraft,female,bookkeeper,0.11628941823653599,0.11628941823653599,1.2738125435393512,1.2738125435393512,-0.059992114617313845,-0.059992114617313845,-0.45326960686662954,-0.45326960686662954,-0.43714438755085155,-0.34332244965865727
2579,Mein Bruder hat sich auf die Stelle als Gesundheitsberater*in beworben.,Mein [MASK] hat sich auf die Stelle als Gesundheitsberater*in beworben.,Mein Bruder hat sich auf die Stelle als [MASK] beworben.,Mein [MASK] hat sich auf die Stelle als [MASK] beworben.,<person subject> hat sich auf die Stelle als <profession> beworben.,Bruder,male,Gesundheitsberater*in,female,health aide,-0.05901285650715024,-0.05901285650715024,-0.050297933422855934,-0.050297933422855934,-0.5028024492679071,-0.5028024492679071,0.11691981848852097,0.11691981848852097,-0.0075772065675634185,-0.2544776676251777
